activity subject tBodyAcc-mean()-X tBodyAcc-mean()-Y tBodyAcc-mean()-Z tBodyAcc-std()-X tBodyAcc-std()-Y tBodyAcc-std()-Z tGravityAcc-mean()-X tGravityAcc-mean()-Y tGravityAcc-mean()-Z tGravityAcc-std()-X tGravityAcc-std()-Y tGravityAcc-std()-Z tBodyAccJerk-mean()-X tBodyAccJerk-mean()-Y tBodyAccJerk-mean()-Z tBodyAccJerk-std()-X tBodyAccJerk-std()-Y tBodyAccJerk-std()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y tBodyGyro-mean()-Z tBodyGyro-std()-X tBodyGyro-std()-Y tBodyGyro-std()-Z tBodyGyroJerk-mean()-X tBodyGyroJerk-mean()-Y tBodyGyroJerk-mean()-Z tBodyGyroJerk-std()-X tBodyGyroJerk-std()-Y tBodyGyroJerk-std()-Z tBodyAccMag-mean() tBodyAccMag-std() tGravityAccMag-mean() tGravityAccMag-std() tBodyAccJerkMag-mean() tBodyAccJerkMag-std() tBodyGyroMag-mean() tBodyGyroMag-std() tBodyGyroJerkMag-mean() tBodyGyroJerkMag-std() fBodyAcc-mean()-X fBodyAcc-mean()-Y fBodyAcc-mean()-Z fBodyAcc-std()-X fBodyAcc-std()-Y fBodyAcc-std()-Z fBodyAccJerk-mean()-X fBodyAccJerk-mean()-Y fBodyAccJerk-mean()-Z fBodyAccJerk-std()-X fBodyAccJerk-std()-Y fBodyAccJerk-std()-Z fBodyGyro-mean()-X fBodyGyro-mean()-Y fBodyGyro-mean()-Z fBodyGyro-std()-X fBodyGyro-std()-Y fBodyGyro-std()-Z fBodyAccMag-mean() fBodyAccMag-std() fBodyBodyAccJerkMag-mean() fBodyBodyAccJerkMag-std() fBodyBodyGyroMag-mean() fBodyBodyGyroMag-std() fBodyBodyGyroJerkMag-mean() fBodyBodyGyroJerkMag-std()
SITTING            11 0.2766091 -0.01909580 -0.1089739 -0.5869898 -0.4875380 -0.6633558 0.7292079  0.05417235  0.13968840 -0.9753453 -0.9569919 -0.9567052 0.08300044  0.0075457547 -0.0065743628 -0.6573872 -0.6065699 -0.8416214 -0.0545826997 -0.05776087 0.08734791 -0.7384791 -0.7016944 -0.7235301 -0.08052621 -0.04947634 -0.04810728 -0.7805961 -0.8676484 -0.7943289 -0.54008495 -0.6107376 -0.54008495 -0.6107376 -0.6779248 -0.6624317 -0.626413805 -0.69510018 -0.8258225 -0.8662691 -0.6172902 -0.5289012 -0.7485948 -0.5769068 -0.49977098 -0.6500369 -0.6748722 -0.6303375 -0.8245892 -0.6702867 -0.6071741 -0.8574471 -0.7084021 -0.7755343 -0.7072670 -0.7503621 -0.6688598 -0.7546435 -0.6093954 -0.6726617 -0.6542406 -0.6752403 -0.7562766 -0.7096591 -0.8641627 -0.8787018
STANDING           11 0.2728555 -0.02406601 -0.1039007 -0.9798836 -0.9364761 -0.9743872 0.9375041 -0.17234385  0.22207886 -0.9831194 -0.9802011 -0.9735800 0.08505679  0.0484157275 -0.0065564978 -0.9632631 -0.9564294 -0.9823111 -0.0783054960 -0.13150115 0.07726816 -0.9664758 -0.9872541 -0.9582965 -0.08386310 -0.03605658 -0.03337141 -0.9610402 -0.9828151 -0.9779163 -0.97301878 -0.9495960 -0.97301878 -0.9495960 -0.9772830 -0.9484229 -0.935153045 -0.95915000 -0.9848588 -0.9667386 -0.9702290 -0.9324483 -0.9747453 -0.9853263 -0.94205434 -0.9753205 -0.9593897 -0.9522136 -0.9779064 -0.9719039 -0.9659768 -0.9858306 -0.9528670 -0.9838624 -0.9562741 -0.9709651 -0.9900600 -0.9627424 -0.9463593 -0.9584026 -0.9533102 -0.9414388 -0.9631554 -0.9637454 -0.9691224 -0.9659442
WALKING_DOWNSTAIRS 12 0.2726944 -0.01815810 -0.1060231 -0.6651519 -0.6300640 -0.7023562 0.7649296 -0.03647334  0.08722110 -0.9649787 -0.9581421 -0.9401833 0.07970190  0.0023250250 -0.0098753580 -0.6762160 -0.6868827 -0.7939754 -0.0554080557 -0.07160546 0.09939693 -0.7660132 -0.7873187 -0.6729770 -0.07539662 -0.04187200 -0.06109535 -0.7857817 -0.8411606 -0.7906831 -0.63774232 -0.6455058 -0.63774232 -0.6455058 -0.7073862 -0.6627602 -0.676585613 -0.71942475 -0.8204820 -0.8297650 -0.6638173 -0.6398509 -0.7252523 -0.6663657 -0.64999422 -0.7147675 -0.6846067 -0.6985715 -0.7755725 -0.6969382 -0.6959471 -0.8111127 -0.7227277 -0.7855810 -0.6879338 -0.7813770 -0.7913410 -0.6995686 -0.6432956 -0.7024720 -0.6640998 -0.6629233 -0.7607708 -0.7428783 -0.8311752 -0.8401817
WALKING_UPSTAIRS   12 0.2751740 -0.01864380 -0.1077208 -0.4449764 -0.3371177 -0.6940507 0.5867407  0.14373036 -0.05973902 -0.9715001 -0.9647342 -0.9581501 0.05455862  0.0104240427  0.0177408328 -0.4218493 -0.3736003 -0.7903050 -0.0756339311 -0.03797095 0.09038618 -0.6626057 -0.6456079 -0.6677721 -0.06920494 -0.04677186 -0.05123271 -0.5795294 -0.7600000 -0.6785985 -0.42579446 -0.4526398 -0.42579446 -0.4526398 -0.4976622 -0.4013513 -0.554775296 -0.62568457 -0.7033634 -0.7121285 -0.4335879 -0.3237456 -0.7290164 -0.4509267 -0.38716688 -0.7017932 -0.4527493 -0.4076560 -0.7751768 -0.4420823 -0.3792582 -0.8042524 -0.5559999 -0.6749834 -0.6050487 -0.6973549 -0.6343668 -0.7230656 -0.4154666 -0.5616213 -0.3932913 -0.4153073 -0.6429156 -0.6793115 -0.7192502 -0.7240590
WALKING_UPSTAIRS   13 0.2758959 -0.01765048 -0.1091353 -0.6248445 -0.4488161 -0.5872306 0.7099965 -0.04208581  0.04430105 -0.9672681 -0.9535407 -0.9387279 0.07943930  0.0038796195 -0.0123485924 -0.6388895 -0.5697005 -0.7284530 -0.0562470619 -0.06166138 0.09886606 -0.7151099 -0.6457286 -0.6433373 -0.08811824 -0.04408366 -0.05827187 -0.7157730 -0.7189886 -0.7127164 -0.53987164 -0.5972310 -0.53987164 -0.5972310 -0.6254669 -0.6102485 -0.581215403 -0.63636494 -0.7127450 -0.7120562 -0.6388179 -0.4934672 -0.6297363 -0.6206020 -0.46258446 -0.5990369 -0.6600822 -0.6033405 -0.7108317 -0.6496062 -0.5621299 -0.7448235 -0.6586424 -0.6471528 -0.6204712 -0.7346580 -0.6506236 -0.6857745 -0.5899281 -0.6653449 -0.6072953 -0.6170755 -0.6522253 -0.6919152 -0.7120544 -0.7331836
SITTING            14 0.2701846 -0.01625482 -0.1009859 -0.6116711 -0.3747308 -0.2935427 0.6720812 -0.11170139 -0.16117973 -0.9412457 -0.9423773 -0.9159278 0.07417575  0.0044368272 -0.0025304469 -0.6419642 -0.5864596 -0.6568556  0.0002536714 -0.09549212 0.06067124 -0.7286614 -0.3989594 -0.3644782 -0.10755613 -0.04332005 -0.04506938 -0.7862917 -0.6979155 -0.6382991 -0.45326262 -0.4740586 -0.45326262 -0.4740586 -0.6089734 -0.6051443 -0.416459777 -0.47148671 -0.7005209 -0.7270230 -0.6195133 -0.4552376 -0.4406507 -0.6094064 -0.37682999 -0.2750137 -0.6543850 -0.5986995 -0.6187122 -0.6614604 -0.6021589 -0.6944250 -0.6991664 -0.5046332 -0.4239182 -0.7400522 -0.3488642 -0.4076721 -0.4908742 -0.5482699 -0.5968963 -0.6192151 -0.5430305 -0.5169305 -0.7175901 -0.7605601
SITTING            15 0.2782134 -0.01646448 -0.1125636 -0.5565412 -0.4816795 -0.7057066 0.6888725  0.10266049  0.03728977 -0.9687334 -0.9563695 -0.9472401 0.07768974  0.0048939205 -0.0044099319 -0.6240558 -0.5943127 -0.8258209 -0.0281278781 -0.07587885 0.09066585 -0.6968595 -0.7087791 -0.7218270 -0.09609101 -0.04412707 -0.05556455 -0.7313827 -0.8539566 -0.7956262 -0.52728535 -0.5571479 -0.52728535 -0.5571479 -0.6547997 -0.6256604 -0.617721780 -0.67533696 -0.8052827 -0.8371201 -0.5837723 -0.5077352 -0.7417457 -0.5471509 -0.50156844 -0.7114313 -0.6434695 -0.6094081 -0.8055435 -0.6376552 -0.6058549 -0.8451111 -0.6643544 -0.7607114 -0.7111945 -0.7093362 -0.6845047 -0.7516965 -0.5629484 -0.6236556 -0.6148176 -0.6431012 -0.7323945 -0.6953468 -0.8368019 -0.8496345
SITTING            16 0.2778874 -0.01585679 -0.1072639 -0.6681615 -0.6499471 -0.6038199 0.7009061 -0.06052360  0.04020755 -0.9711564 -0.9647275 -0.9452940 0.07754889  0.0088401833 -0.0014373001 -0.7278617 -0.7350802 -0.7678730 -0.0122341447 -0.07244448 0.07301447 -0.7995345 -0.8101241 -0.7376300 -0.10736161 -0.04166157 -0.05394704 -0.8582987 -0.8695731 -0.8370399 -0.61613112 -0.6617197 -0.61613112 -0.6617197 -0.7252469 -0.7196470 -0.718168776 -0.78482287 -0.8604464 -0.8748002 -0.7008851 -0.6715721 -0.6609899 -0.6569690 -0.66184453 -0.6056467 -0.7446620 -0.7486270 -0.7523022 -0.7347767 -0.7384344 -0.7820895 -0.7897801 -0.8159621 -0.7562866 -0.8049918 -0.8094214 -0.7569936 -0.6669625 -0.7126810 -0.7131676 -0.7298694 -0.8171288 -0.8020782 -0.8727723 -0.8865332
SITTING            17 0.2740295 -0.01754160 -0.1091999 -0.6084552 -0.5670053 -0.6605828 0.6989374 -0.01373470 -0.01770424 -0.9717717 -0.9588100 -0.9490392 0.08140606  0.0084894967  0.0027028801 -0.6826031 -0.6686938 -0.8133396 -0.0146686177 -0.08271093 0.07702506 -0.7590111 -0.7648670 -0.7207410 -0.10785417 -0.03917194 -0.05084965 -0.7883880 -0.8259887 -0.8082513 -0.56836724 -0.6360745 -0.56836724 -0.6360745 -0.6964652 -0.6939464 -0.676185123 -0.75014526 -0.8104382 -0.8252560 -0.6517804 -0.6017414 -0.7189474 -0.5935102 -0.57693006 -0.6566229 -0.7166816 -0.6947548 -0.8025288 -0.6765449 -0.6631584 -0.8228017 -0.7287104 -0.7747453 -0.7268578 -0.7700572 -0.7613352 -0.7451015 -0.6461892 -0.6875369 -0.6975756 -0.6925958 -0.7694986 -0.7822325 -0.8291245 -0.8337010
WALKING_UPSTAIRS   18 0.2763242 -0.01728315 -0.1081123 -0.6946169 -0.6271175 -0.7015960 0.7168632 -0.01578200  0.08999017 -0.9801387 -0.9695420 -0.9594342 0.07748092  0.0128850449  0.0008485451 -0.7346445 -0.7329692 -0.8472578 -0.0373993799 -0.06782001 0.09084029 -0.8045337 -0.7773617 -0.7456125 -0.09440296 -0.04416919 -0.05684826 -0.8428935 -0.8840505 -0.8386147 -0.65837095 -0.6896719 -0.65837095 -0.6896719 -0.7539047 -0.7452128 -0.714735669 -0.77577906 -0.8598999 -0.8885653 -0.7142278 -0.6636597 -0.7612292 -0.6878505 -0.63283824 -0.6948741 -0.7500201 -0.7441134 -0.8330321 -0.7425179 -0.7391978 -0.8601690 -0.7877576 -0.8163859 -0.7559268 -0.8121752 -0.7596656 -0.7663817 -0.6977329 -0.7339041 -0.7423238 -0.7501900 -0.8162866 -0.7897777 -0.8846630 -0.9022068
LAYING             19 0.2683392 -0.01875896 -0.1214042 -0.4615182 -0.3828987 -0.5633794 0.3966411  0.11738517  0.20516412 -0.9521343 -0.9550349 -0.9351349 0.07794773  0.0119746716 -0.0026353156 -0.4560333 -0.4591697 -0.6274228 -0.0426130632 -0.06875554 0.08914488 -0.5441039 -0.5525698 -0.5555525 -0.08690422 -0.03749933 -0.05728151 -0.5181437 -0.6531113 -0.6041085 -0.41087768 -0.4986690 -0.41087768 -0.4986690 -0.4629076 -0.4965212 -0.436124387 -0.51212777 -0.5989236 -0.6535541 -0.4771850 -0.4000420 -0.5572774 -0.4567509 -0.41371752 -0.6041609 -0.4842130 -0.4917705 -0.5969878 -0.4758861 -0.4600402 -0.6566255 -0.4367781 -0.5479651 -0.5001857 -0.5799251 -0.5612074 -0.6175679 -0.4421526 -0.6134397 -0.4636972 -0.5465966 -0.5429297 -0.5787597 -0.6455006 -0.6902587
SITTING            19 0.2747283 -0.01619371 -0.1069720 -0.9837062 -0.9558358 -0.9594039 0.7597886  0.02055483  0.33369004 -0.9805475 -0.9745069 -0.9658982 0.07549873  0.0101588436  0.0009338862 -0.9870564 -0.9767459 -0.9870543 -0.0239638268 -0.06592411 0.08552679 -0.9765009 -0.9739383 -0.9715357 -0.09931834 -0.04129108 -0.05582045 -0.9828784 -0.9894808 -0.9852290 -0.96763005 -0.9642865 -0.96763005 -0.9642865 -0.9859122 -0.9829707 -0.956717994 -0.96427674 -0.9889833 -0.9860676 -0.9842557 -0.9624084 -0.9715030 -0.9835835 -0.95456704 -0.9555323 -0.9870321 -0.9760371 -0.9843880 -0.9883047 -0.9795317 -0.9884550 -0.9736003 -0.9789136 -0.9729839 -0.9775230 -0.9715059 -0.9736965 -0.9694689 -0.9661531 -0.9823160 -0.9827154 -0.9738143 -0.9644502 -0.9871241 -0.9854821
WALKING_UPSTAIRS   20 0.2684258 -0.01759130 -0.1080291 -0.6048467 -0.3693367 -0.6347873 0.6280406 -0.03730595  0.10723076 -0.9582019 -0.9525068 -0.9409815 0.07981813  0.0022092871 -0.0045061190 -0.6270988 -0.5271746 -0.7473626 -0.0242488812 -0.07894484 0.08562806 -0.6845863 -0.5736774 -0.5272780 -0.09498218 -0.04143561 -0.05430013 -0.6983541 -0.6842807 -0.6367159 -0.51725743 -0.5723258 -0.51725743 -0.5723258 -0.6196988 -0.5886443 -0.516861236 -0.58002361 -0.6840485 -0.6835037 -0.6126411 -0.4263987 -0.6650069 -0.6031489 -0.38153403 -0.6475156 -0.6522642 -0.5577913 -0.7328356 -0.6347101 -0.5259076 -0.7605091 -0.6264454 -0.5910397 -0.5184445 -0.7044818 -0.5675886 -0.5750022 -0.5602789 -0.6483062 -0.5845714 -0.5973510 -0.6069709 -0.6358163 -0.6926381 -0.6946800
LAYING             21 0.2774665 -0.01766646 -0.1087785 -0.6723239 -0.5655852 -0.6696218 0.6457760 -0.07509631  0.03218518 -0.9655866 -0.9693308 -0.9530940 0.08222079  0.0035010755 -0.0106590727 -0.6997633 -0.6651591 -0.7818239 -0.0276346639 -0.07847197 0.08612127 -0.7961723 -0.7650578 -0.7016420 -0.10055832 -0.04082361 -0.05338610 -0.7924832 -0.8158593 -0.8120173 -0.62030926 -0.6601960 -0.62030926 -0.6601960 -0.7034613 -0.6800692 -0.693779225 -0.76130312 -0.8078174 -0.8240899 -0.6934861 -0.5937782 -0.7077138 -0.6653497 -0.57874859 -0.6755882 -0.7164141 -0.6786151 -0.7673520 -0.7098007 -0.6741024 -0.7949228 -0.7520408 -0.7593257 -0.7094714 -0.8110267 -0.7713883 -0.7283193 -0.6586647 -0.7143457 -0.6797426 -0.6837251 -0.7764731 -0.7931585 -0.8262750 -0.8349499
LAYING             22 0.2747677 -0.01682736 -0.1086704 -0.5460900 -0.4911884 -0.6550897 0.6093909  0.03150987  0.23588786 -0.9585045 -0.9573231 -0.9390810 0.07910311  0.0152572467 -0.0072287330 -0.5849638 -0.5604701 -0.7604684 -0.0080063064 -0.09496611 0.08124066 -0.6959192 -0.7840523 -0.6544580 -0.10925756 -0.03846162 -0.05821443 -0.7088987 -0.8599244 -0.7422728 -0.50409920 -0.5959539 -0.50409920 -0.5959539 -0.6097728 -0.5898231 -0.637666108 -0.67637856 -0.7946813 -0.8264934 -0.5949297 -0.5081728 -0.6873210 -0.5289588 -0.51558097 -0.6655170 -0.6042532 -0.5743181 -0.7397018 -0.6024580 -0.5763918 -0.7802527 -0.6395757 -0.7913997 -0.6433633 -0.7149779 -0.7820461 -0.6906794 -0.5743332 -0.6738962 -0.5854425 -0.5992869 -0.7281668 -0.6996001 -0.8301920 -0.8355972
